"","date","object","weight_lbs"
"309",2019-01-26,"raisin",18
"310",2019-01-26,"simone",10.625
"311",2019-01-26,"gagne",10.5625
"312",2019-01-26,"std",NA
"313",2019-01-27,"raisin",18.0625
"314",2019-01-27,"simone",10.625
"315",2019-01-27,"gagne",10.625
"316",2019-01-27,"std",NA
"317",2019-01-28,"raisin",17.9375
"318",2019-01-28,"simone",10.5
"319",2019-01-28,"gagne",10.375
"320",2019-01-28,"std",NA
"321",2019-02-04,"raisin",18.0625
"322",2019-02-04,"simone",10.625
"323",2019-02-04,"gagne",10.8125
"324",2019-02-04,"std",NA
"325",2019-02-06,"raisin",18.0625
"326",2019-02-06,"simone",10.875
"327",2019-02-06,"gagne",10.875
"328",2019-02-06,"std",NA
"329",2019-02-08,"raisin",18
"330",2019-02-08,"simone",10.5625
"331",2019-02-08,"gagne",10.6875
"332",2019-02-08,"std",NA
"333",2019-02-10,"raisin",17.9375
"334",2019-02-10,"simone",10.625
"335",2019-02-10,"gagne",10.6875
"336",2019-02-10,"std",NA
"337",2019-02-13,"raisin",18.0625
"338",2019-02-13,"simone",10.625
"339",2019-02-13,"gagne",10.8125
"340",2019-02-13,"std",NA
"341",2019-02-15,"raisin",17.875
"342",2019-02-15,"simone",NA
"343",2019-02-15,"gagne",NA
"344",2019-02-15,"std",NA
"345",2019-02-26,"raisin",17.8125
"346",2019-02-26,"simone",10.375
"347",2019-02-26,"gagne",10.4375
"348",2019-02-26,"std",NA
"349",2019-02-28,"raisin",17.625
"350",2019-02-28,"simone",10.25
"351",2019-02-28,"gagne",10.3125
"352",2019-02-28,"std",NA
"353",2019-03-03,"raisin",17.4375
"354",2019-03-03,"simone",10.3125
"355",2019-03-03,"gagne",10.1875
"356",2019-03-03,"std",NA
"357",2019-03-05,"raisin",17.5625
"358",2019-03-05,"simone",10.4375
"359",2019-03-05,"gagne",10.5
"360",2019-03-05,"std",NA
"361",2019-03-19,"raisin",18.0625
"362",2019-03-19,"simone",9.9375
"363",2019-03-19,"gagne",9.875
"364",2019-03-19,"std",NA
"365",2019-03-21,"raisin",18.0625
"366",2019-03-21,"simone",10.125
"367",2019-03-21,"gagne",10.0625
"368",2019-03-21,"std",NA
"369",2019-03-23,"raisin",17.9375
"370",2019-03-23,"simone",10.0625
"371",2019-03-23,"gagne",10.0625
"372",2019-03-23,"std",NA
"373",2019-03-25,"raisin",17.9375
"374",2019-03-25,"simone",10.0625
"375",2019-03-25,"gagne",10.0625
"376",2019-03-25,"std",NA
"377",2019-03-31,"raisin",17.8125
"378",2019-03-31,"simone",10.4375
"379",2019-03-31,"gagne",10.375
"380",2019-03-31,"std",NA
"381",2019-04-05,"raisin",17.8125
"382",2019-04-05,"simone",10.25
"383",2019-04-05,"gagne",10.4375
"384",2019-04-05,"std",NA
"385",2019-04-07,"raisin",17.875
"386",2019-04-07,"simone",10.25
"387",2019-04-07,"gagne",10.4375
"388",2019-04-07,"std",NA
"389",2019-04-09,"raisin",17.9375
"390",2019-04-09,"simone",10.375
"391",2019-04-09,"gagne",10.4375
"392",2019-04-09,"std",NA
"393",2019-04-11,"raisin",17.9375
"394",2019-04-11,"simone",10.375
"395",2019-04-11,"gagne",10.375
"396",2019-04-11,"std",NA
"397",2019-04-15,"raisin",17.625
"398",2019-04-15,"simone",9.9375
"399",2019-04-15,"gagne",9.9375
"400",2019-04-15,"std",NA
"401",2019-04-21,"raisin",17.625
"402",2019-04-21,"simone",10.3125
"403",2019-04-21,"gagne",10.125
"404",2019-04-21,"std",NA
"405",2019-04-24,"raisin",17.6875
"406",2019-04-24,"simone",10.375
"407",2019-04-24,"gagne",10.1875
"408",2019-04-24,"std",NA
"409",2019-04-30,"raisin",17.5625
"410",2019-04-30,"simone",10.0625
"411",2019-04-30,"gagne",9.8125
"412",2019-04-30,"std",NA
"413",2019-05-03,"raisin",17.5
"414",2019-05-03,"simone",10.3125
"415",2019-05-03,"gagne",10.0625
"416",2019-05-03,"std",NA
"417",2019-05-06,"raisin",17.5625
"418",2019-05-06,"simone",10.0625
"419",2019-05-06,"gagne",10.0625
"420",2019-05-06,"std",NA
"421",2019-05-10,"raisin",17.25
"422",2019-05-10,"simone",10.1875
"423",2019-05-10,"gagne",10.125
"424",2019-05-10,"std",NA
"425",2019-05-17,"raisin",17.5
"426",2019-05-17,"simone",10.25
"427",2019-05-17,"gagne",10.0625
"428",2019-05-17,"std",NA
"429",2019-05-31,"raisin",17.25
"430",2019-05-31,"simone",9.875
"431",2019-05-31,"gagne",9.5
"432",2019-05-31,"std",NA
"433",2019-06-08,"raisin",18.0625
"434",2019-06-08,"simone",10.4375
"435",2019-06-08,"gagne",9.875
"436",2019-06-08,"std",NA
"437",2019-06-12,"raisin",17.6875
"438",2019-06-12,"simone",10.3125
"439",2019-06-12,"gagne",9.5625
"440",2019-06-12,"std",NA
"441",2019-06-15,"raisin",17.75
"442",2019-06-15,"simone",10.25
"443",2019-06-15,"gagne",9.5
"444",2019-06-15,"std",NA
"445",2019-06-21,"raisin",18.25
